proposal_id,cluster,cells,countries,lon_min,lon_max,lat_min,lat_max,mean_temp,sd_temp_anom,conflict_month_share,total_conflicts,elapsed_seconds,interCor_mean,intraCor_mean,diffCor_mean
temp_hybrid_k20,9,129,"AGO,CMR,COD,COG,GAB,GNQ",8.5,22.5,-10.5,4.5,25.04234464243144,0.47692985060542803,0.02313078269567392,2245,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,10,161,"BDI,COD,KEN,RWA,TZA,UGA,ZMB",18.5,36.5,-10.5,1.5,23.521674952280772,0.5244280068015924,0.03581446603886999,7459,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,11,112,"ETH,KEN,SOM,TZA,UGA",34.5,43.5,-5.5,12.5,23.891940712869623,0.5438547010451144,0.08510944700460828,5467,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,12,472,"CAF,CMR,COD,COG,ERI,ETH,KEN,NER,NGA,SDZ,SSD,TCD,UGA",5.5,40.5,0.5,20.5,26.92416263312147,0.8576451570878437,0.053387552396573716,19855,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,13,88,"DJI,ERI,ETH,SOM",39.5,51.5,1.5,14.5,27.285208671432063,0.595216559268041,0.09066471163245357,6779,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,14,127,"BEN,BFA,CIV,CMR,GHA,GIN,LBR,MLI,NGA,SEN,SLE,TGO",-13.5,9.5,4.5,12.5,27.11438670838625,0.4889368894381045,0.043264753196173046,5852,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,15,14,"GIN,GNB,SEN",-17.5,-14.5,10.5,15.5,27.816456780529954,0.5651141299042537,0.0412826420890937,383,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,16,161,"BFA,DZA,GIN,MLI,MRT,SEN",-14.5,3.5,10.5,24.5,29.451199369682094,0.9422281556991092,0.011737794697121488,1020,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,17,179,"BEN,BFA,DZA,LBY,MLI,NER,NGA,TCD",-3.5,21.5,11.5,24.5,27.471966278608758,1.035111029089072,0.00782423259446147,903,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,18,273,"B28,CPV,DZA,MAR,MLI,MRT,SEN,TUN",-25.5,10.5,15.5,37.5,23.07184224995766,1.1727958644578103,0.025729646697388642,5590,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,19,230,"EGY,LBY,NER,SDZ,TCD",14.5,36.5,18.5,32.5,24.121709661629264,1.1315983618227055,0.010402057035998101,3151,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,20,131,"DZA,LBY,TUN",2.5,19.5,22.5,33.5,23.287388261362143,1.24281744919351,0.005561027661495528,822,1.439,0.2084737,0.8548068674314033,0.1894085
